Source Number,RA (J2000.0),DEC (J2000.0),I,Ierr,J,Jerr,H,Herr,Ks,Kserr,[3.6],[3.6]err,[4.5],[4.5]err,[5.8],[5.8]err,[8.0],[8.0]err,SpT
1,12 57 58.7,-77 01 19.5,22.61,0.1,17.88,0.04,16.8,0.03,15.98,0.03,14.85,0.16,14.55,0.16,14.84,0.28,13.87,0.19,11.5
2,12 58 06.7,-77 09 09.5,19.61,0.05,14.99,0.03,13.5,0.03,12.48,0.03,11.49,0.16,11.04,0.16,10.6,0.16,10.01,0.16,6.0
3,13 00 59.3,-77 14 02.7,16.26,0.05,11.48,0.04,9.55,0.04,7.92,0.04,6.84,0.16,6.48,0.17,6.2,0.16,5.97,0.16,
4,13 04 24.9,-77 52 30.3,14.66,0.05,12.19,0.04,11.22,0.04,10.57,0.04,10.0,0.16,9.68,0.16,9.38,0.16,8.67,0.16,2.0
5,13 05 40.8,-77 39 58.2,22.16,0.07,17.75,0.04,16.71,0.03,15.77,0.03,14.64,0.16,14.26,0.16,14.16,0.17,13.42,0.17,11.0
6,13 07 18.1,-77 40 52.9,16.18,0.05,13.09,0.04,12.2,0.04,11.56,0.04,10.96,0.16,10.65,0.16,10.38,0.16,9.8,0.16,5.0
7,13 08 27.1,-77 43 23.3,16.55,0.05,13.56,0.04,12.83,0.04,12.26,0.04,11.71,0.16,11.41,0.16,11.15,0.16,10.59,0.16,6.0
8,16 21 42.0,-23 13 43.2,15.58,0.05,12.15,0.04,11.39,0.04,10.92,0.04,10.33,0.16,10.1,0.16,9.91,0.16,9.54,0.16,3.0
9,16 21 48.5,-23 40 27.3,17.5,0.05,13.55,0.03,12.37,0.04,11.68,0.03,10.9,0.16,10.41,0.16,10.14,0.16,9.15,0.16,5.5
10,16 22 25.0,-23 29 55.4,14.04,0.05,11.02,0.04,10.08,0.04,9.53,0.04,8.41,0.16,8.09,0.16,7.71,0.16,7.04,0.16,3.0
11,16 22 25.2,-24 05 15.6,18.98,0.05,15.24,0.03,14.64,0.03,14.03,0.03,13.33,0.16,13.01,0.16,12.44,0.17,11.94,0.17,8.0
13,16 22 44.9,-23 17 13.4,17.07,0.05,13.5,0.03,12.76,0.04,12.21,0.04,11.59,0.16,11.25,0.16,11.05,0.16,10.41,0.16,6.0
14,16 23 05.8,-23 38 17.8,21.22,0.05,15.64,0.03,14.36,0.03,13.46,0.03,12.63,0.16,12.12,0.16,11.78,0.16,11.39,0.16,8.0
15,16 23 15.7,-23 43 00.4,18.94,0.05,13.76,0.04,12.37,0.04,11.31,0.04,10.22,0.16,9.72,0.16,9.3,0.16,8.5,0.16,2.0
16,16 23 36.1,-24 02 20.9,14.68,0.05,11.44,0.04,10.61,0.05,10.06,0.04,9.41,0.17,9.13,0.17,8.66,0.16,8.12,0.16,4.0
17,15 39 27.3,-34 48 44.0,21.81,0.05,17.19,0.03,16.27,0.03,15.69,0.03,14.41,0.16,14.25,0.16,14.04,0.19,13.61,0.19,12.5
18,15 41 40.8,-33 45 18.8,17.38,0.05,14.61,0.03,14.16,0.03,13.75,0.03,12.97,0.16,12.55,0.16,12.29,0.17,11.72,0.16,7.0
19,15 44 57.9,-34 23 39.3,15.28,0.05,12.93,0.04,12.42,0.04,12.1,0.04,11.75,0.16,11.63,0.16,11.41,0.16,10.69,0.16,4.5
