CFHTWIR-Oph	RA	Dec	J (mag)	H (mag)	Ks (mag)	SpT	AV (mag)	T (K)	Properties
9	16:26:03.28	 −24:30:25.9	17.76	16.33	15.32	L0	6.6	2250	H2O, CO
16	16:26:18.58	 −24:29:51.6	17.09	14.92	13.55	M6.75	18.8	2908	ex, H2O, var
18	16:26:19.41	 −24:27:43.9	18.92	17.16	16.04	L0	7.8	2250	ex, H2O, CO
30	16:26:36.82	 −24:19:00.3	16.24	14.35	13.06	M3.25	4.9	3379	ex, var, X-ray
31	16:26:37.81	 −24:39:03.3	14.65	13.45	12.66	M5.25,M5.5	5.7, 8.9	3091	ex, VO
33	16:26:39.69	 −24:22:06.2	18.16	16.74	15.68	L4	3.6	1650	H2O, CO
37	16:26:40.84	 −24:30:51.1	17.32	14.77	13.18	M5.75 (M7.5)d	23.4 (22.)	3024	ex, H2O
66	16:27:14.34	 −24:31:32.0	18.42	16.53	15.3	M7.75 (M4.5)d	15.1 (17.6)	2753	ex, H2O, var
77	16:27:25.64	 −24:37:28.6	18.23	16.54	15.36	M9.75 (M7)d	10.0 (15.4)	2263	H2O, CO
78	16:27:26.23	 −24:19:23.1	16.35	14.36	13.04	M7.75	16.4	2753	ex, H2O, var
90	16:27:36.59	 −24:51:36.1	16.83	15.65	14.85	L0	2.4	2250	ex, H2O, CO
96	16:27:40.84	 −24:29:00.8	14.6	13.76	13.19	M7.75	2.4	2753	ex, VO
98	16:27:44.20	 −23:58:52.4	17.08	15.78	14.98	M9.75	3.0	2263	ex, H2O, CO
100	16:27:46.54	 −24:05:59.2	17.94	16.34	15.26	L0	8.0	2250	H2O, CO
101	16:27:47.25	 −24:46:45.9	19.26	16.48	14.78	M7	25.8	2880	H2O, em
103	16:28:10.46	 −24:24:20.4	17.74	16.15	15.07	L0	7.5	2250	ex, H2O, CO
107	16:28:48.71	 −24:26:31.8	14.31	13.6	13.13	M6.25	2.3	2963	ex
Members with uncertain spectral type									
53	16:26:56.36	 −24:41:20.6	18.6	16.34	14.92	L3?	8.6		ex, H2O, CO
56	16:27:03.59	 −24:20:05.6	17.13	15.01	13.72	M3?	20.1		ex, var, em
58	16:27:05.94	 −24:18:40.3	17.05	15.77	14.85	L3?	1.5		ex, H2O
104	16:28:11.61	 −24:37:29.9	19.51	16.95	15.41	L3?	10.5		ex, H2O
Likely contaminants									
1	16:25:19.15	 −24:19:27.4	19.07	17.33	15.86	 	 	 	ex
3	16:25:23.78	 −24:22:58.4	16.3	14.85	13.97	M5	9.7	 	Na I
6	16:25:46.63	 −24:23:36.4	18.87	16.69	15.12	 	 	 	ex
7	16:25:46.98	 −24:11:54.1	18.34	16.85	15.68	 	 	 	ex
12	16:26:09.99	 −24:14:40.1	18.15	16.35	15.25	M4	15.3	 	Na I
15	16:26:16.33	 −24:39:30.7	15.79	14.15	13.11	M6.5	12.4	 	Na I
17	16:26:19.21	 −24:41:30.1	17.44	15.8	14.61	 	 	 	 
19	16:26:22.27	 −24:37:09.5	19.15	17.1	15.86	 	 	 	 
20	16:26:22.89	 −23:58:34.2	18.01	16.73	15.8	 	 	 	 
22	16:26:25.10	 −24:41:32.7	17.03	15.52	14.54	 	 	 	 
28	16:26:35.28	 −24:42:39.2	19.68	17.79	16.36	 	 	 	ex
42	16:26:44.51	 −24:04:08.8	18.64	17.19	16.08	 	 	 	 
52	16:26:55.54	 −23:57:36.5	16.02	15.08	14.39	 	 	 	ex
69	16:27:18.53	 −24:07:22.0	14.76	13.55	12.79	M7.5	6.7	 	Na I
