Identifier	RA	Dec	SpT	A_V	Ref	70_micron	100_micron	160_micron
GY92 15	16:26:22.98	-24:28:46.1	M6	10.7	7	<47.5	<324.9	<579.8
GY92 109	16:26:42.89	-24:22:59.1	M6	13.5	7	<10.5	<91.5	<266.1
WL21	16:26:57.33	-24:35:38.7	M6	23.8	7	<120.9	<223.1	<631.4
GY92 350	16:27:46.29	-24:31:41.2	M6	7.0	5	<10.8	<16.8	<121.0
CFHTWIR-Oph 107	16:28:48.71	-24:26:31.8	M6.25	2.3	10	<4.4	<10.0	<46.4
CFHTWIR-Oph 106	16:28:29.93	-24:54:06.4	M6.5	4.9	6	<4.6	<13.1	<73.0
CRBR 2322.3-1143	16:26:23.78	-24:18:31.4	M6.7	8.6	4	<11.2	<38.9	<202.5
CFHTWIR-Oph 16	16:26:18.58	-24:29:51.6	M6.75	18.8	10	<30.3	<50.4	<227.5
GY92 202	16:27:05.98	-24:28:36.3	M7(M6.5)	13.0	2,3	<39.7	<50.2	<227.5
CRBR 2317.3-1925	16:26:18.82	-24:26:10.5	M7.5(M5.5,M7)	10.0	2,3,5	<89.3	<119.9	<449.7
CFHTWIR-Oph 78	16:27:26.23	-24:19:23.1	M7.75	16.4	10	<8.1	<28.1	<117.4
CFHTWIR-Oph 96a	16:27:40.84	-24:29:00.8	M7.75	2.4	10	<23.5	<113.6	<396.3
GY92 64	16:26:32.53	-24:26:35.4	M8	11.0	2	<35.5	<379.7	<2414.2
CFHTWIR-Oph 34	16:26:39.92	-24:22:33.6	M8.25	9.7	6	<78.5	<63.5	<270.2
GY92 11	16:26:22.27	-24:24:07.1	M8.5(M6.5,M8.5)	8.0	8,2,5	<10.4	<50.1	<361.5
GY92 141	16:26:51.28	-24:32:42.0	M8.5(M8)	0.7	1,4	<8.6	<36.2	<133.0
CFHTWIR-Oph 98	16:27:44.20	-23:58:52.4	M9.75	3.0	10	<5.9	<13.0	<46.3
CFHTWIR-Oph 90	16:27:36.59	-24:51:36.1	L0	2.4	10	<4.5	<12.8	<48.7
Class III								
GY92 450	16:28:03.56	-24:34:38.6	M6	20.5	7	<4.4	<14.7	<93.6
CFHTWIR-Oph 4	16:25:32.41	-24:34:05.2	M6.5	2.5	6	<10.9	<29.8	<67.2
CFHTWIR-Oph 101	16:27:47.25	-24:46:45.9	M7	25.8	10	<4.9	<11.9	<102.9
CFHTWIR-Oph 57	16:27:04.02	-24:02:46.9	M7.25	6.1	6	<7.8	<18.4	<66.8
CFHTWIR-Oph 47	16:26:52.26	-24:01:46.8	M7.5	5.6	6	<6.8	<19.8	<68.4
CFHTWIR-Oph 77	16:27:25.64	-24:37:28.6	M9.75	10.0	10	<6.1	<22.1	<148.7
CFHTWIR-Oph 103	16:28:10.46	-24:24:20.4	L0	7.5	10	<5.5	<13.8	<116.1
No SED classification available								
SONYC-RhoOph-6	16:27:05.93	-24:18:40.2	M7	8.0	11	<8.5	<28.4	<133.8
SONYC-RhoOph-1	16:26:56.33	-24:42:37.8	M9	5.0	9	<5.5	<16.5	<73.1
CFHTWIR-Oph 9	16:26:03.28	-24:30:25.9	L0	6.6	10	<36.9	<28.5	<476.0
CFHTWIR-Oph 18	16:26:19.41	-24:27:43.9	L0	7.8	10	<11.7	<56.1	<398.9
CFHTWIR-Oph 100	16:27:46.54	-24:05:59.2	L0	8.0	10	<5.5	<15.2	<58.5
CFHTWIR-Oph 33	16:26:39.69	-24:22:06.2	L4	3.6	10	<165.2	<34.4	<285.3
Pre-brown dwarf								
Oph B-11	16:27:13.96	-24:28:29.3		~30	12	<15.4	<32.0	<63.1
