mass	t_Myr	Teff	log_L	D_abundance
0.015	18.42	2177	-3.17	2e-05
0.015	50.58	1834	-3.65	1e-05
0.02	7.59	2497	-2.67	2e-05
0.02	17.02	2415	-2.88	1e-05
0.03	2.92	2703	-2.21	2e-05
0.03	7.28	2682	-2.36	1e-05
0.04	2.02	2794	-1.93	2e-05
0.04	4.99	2784	-2.08	1e-05
0.05	1.55	2844	-1.74	2e-05
0.05	3.93	2846	-1.87	1e-05
0.06	1.31	2887	-1.58	2e-05
0.06	3.27	2887	-1.72	1e-05
0.07	1.13	2920	-1.45	2e-05
0.07	2.82	2925	-1.58	1e-05
0.07200000000000001	1.07	2926	-1.43	2e-05
0.07200000000000001	2.74	2932	-1.56	1e-05
0.075	1.03	2932	-1.39	2e-05
0.075	2.64	2942	-1.52	1e-05
