Name,HBC,SpT,JD_min_max,N_seasons,V_range,N_obs,avgB_V,avgV_R,mult,ref
Anon 1    , 366 , M0    , 48953--50760 ,6, 13.58--13.36 ,96,1.84, 1.84 , , \\
HD 283572 , 380 , G6 IV , 48854--53300 ,13,  9.16--8.89  ,425,0.77, 0.70 , , \\
Hubble 4  , 374 , K7    , 49197--49251 ,1, 12.71--12.59 ,27,1.62, , ,   \\
LkCa 1    , 365 , M4    , 49213--50760 ,5, 13.80--13.64 ,88,1.45, 1.71 , , \\
LkCa 2    ,     , K7    , 48953--51157 ,7, 12.37--12.19 ,119,1.39, 1.34 , , \\
LkCa 3    , 368 , M1    , 48858--51157 ,7, 12.17--11.97 ,144,1.48, 1.52 , VB(0.48) , wh01 \\
LkCa 4    , 370 , K7    , 48858--53289 ,13, 13.19--12.28 ,284,1.42, 1.37 , , \\
LkCa 5    , 371 , M2    , 48953--50081 ,4, 13.63--13.44 ,65,1.47, 1.50 , , \\
LkCa 7    , 379 , K7    , 48182--53300 ,15, 12.75--12.11 ,422,1.36, 1.35 , VB(1.02) , wh01 \\
LkCa 11   ,     , M2    , 48954--53291 ,13, 13.33--13.10 ,197,1.5, 1.58 , , \\
LkCa 14   , 417 , M0    , 48954--50081 ,4, 11.84--11.63 ,63,1.19, 1.05 , , \\
LkCa 16   , 420 , K7    , 48859--53289 ,4, 12.71--12.32 ,61,1.5, 1.41 , VB(0.29) , wh01 \\
LkCa 19   , 426 , K0    , 48181--53300 ,13, 11.08--10.80 ,308,1.01, 1.09 , , \\
LkCa 21   , 382 , M3    , 48952--49251 ,2, 13.54--13.34 ,32,1.57, 1.65 , , \\
SR 9      , 264 , K5    , 46607--52827 ,15, 11.86--11.28 ,336,1.25, 1.21 , VB(0.59) , gh93 \\
SR 12     , 263 , M1    , 46964--52819 ,10, 13.53--13.09 ,195,1.57, 1.60 , , \\
TAP 4     , 347 , K1    , 48858--49218 ,2, 12.26--12.01 ,33,0.88, 0.80 , , \\
TAP 9     , 351 , K5    , 48858--49635 ,3, 12.25--12.08 ,82,1.05, 0.99 , VB(0.61) , le93 \\
TAP 10AB ,352+353, G0+G5, 48953--49623 ,3, 11.42--11.29 ,56,0.87, 0.80 , VB(8.6) , he88\\
TAP 11AB ,354+355, K3+K0, 48853--49218 ,2, 12.50--12.36 ,31,0.92, 0.83 , , \\
TAP 14NE ,356+357, K2   , 48853--49215 ,2, 12.96--12.86 ,28,1.01, 0.89 , , \\
TAP 26    , 376 , K7    , 48858--50760 ,6, 12.44--12.16 ,165,1.13, 1.01 , , \\
TAP 35    , 388 , K1    , 48860--53300 ,8, 10.45--10.16 ,226,0.77, 0.67 , , \\
TAP 40    , 392 , K5    , 48860--50760 ,6, 12.69--12.52 ,137,1.17, 1.05 , , \\
TAP 41    , 397 , K7    , 48860--53300 ,13, 12.41--12.01 ,245,1.24, 1.11 , , \\
TAP 45    , 403 , K7    , 48860--53291 ,8, 13.36--13.11 ,145,1.45, 1.33 , , \\
TAP 49    , 407 , G8    , 48860--50020 ,4, 12.82--12.58 ,86,1.03, 0.91 , , \\
TAP 50    , 408 , K0 IV , 49199--53311 ,12, 10.34--10.06 ,263,0.89, 0.79 , , \\
TAP 57NW  , 427 , K7    , 48857--53300 ,13, 11.74--11.47 ,276,1.28, 1.16 , SB($P\approx$ 2000 d) , ma89\\
V501 Aur  ,     , K2    , 49659--53311 ,10, 10.83--10.54 ,247,1.62, 1.35 , , \\
V410 Tau  ,  29 , K3    , 46660--53300 ,19, 11.24--10.52 ,959,1.16, 1.04 ," VT(0.07, 0.29) ", wh01 \\
V819 Tau  , 378 , K7    , 48126--53272 ,15, 13.30--12.77 ,363,1.51, 1.46 , VB(10.5) , le93\\
V826 Tau  , 400 , K7    , 48135--49625 ,4, 12.19--12.04 ,94,1.38, 1.27 , SB($P=3.9$d) , mu83 \\
V827 Tau  , 399 , K7    , 48136--53299 ,14, 13.00--12.24 ,236,1.42, 1.37 , , \\
V830 Tau  , 405 , K7    , 48127--53298 ,15, 12.39--11.91 ,383,1.35, 1.24 , , \\
V836 Tau  , 429 , K7    , 48143--53292 ,11, 14.05--13.01 ,170,1.53, 1.44 , , \\
V1197 Tau ,     , G8    , 49659--53300 ,10, 10.66--10.49 ,232,0.84, 0.75 , , \\
V1199 Tau ,     , K0    , 49659--53311 ,10, 10.75--10.53 ,208,0.72, 0.66 , , \\
V1200 Tau ,     , G5    , 49659--53311 ,10, 11.35--11.15 ,212,0.93, 0.81 , , \\
V1202 Tau ,     , G0    , 49659--53311 ,10, 10.95--10.68 ,208,0.83, 0.71 , , \\
V1207 Tau ,     , K7    , 49659--53300 ,10, 12.01--11.81 ,174,1.24, 1.08 , , \\
VY Tau    ,  68 , M0    , 46383--52176 ,17, 13.98--13.25 ,436,1.47, 1.47 , VB(0.66) , wh01 \\
Wa CrA/1  , 676 , K0 IV , 48049--48100 ,1, 11.67--11.35 ,27,1.17, 1.08 , , \\
Wa CrA/2  , 678 , G8 IV , 48049--48100 ,1, 10.69--10.53 ,28,0.85, 0.74 , , \\
Wa Oph/1  , 630 , K2 IV , 49145--53228 ,8, 12.19--11.84 ,190,1.38, 1.30 , , \\
Wa Oph/2  , 633 , K1 IV , 51733--53228 ,5, 11.77--11.60 ,101,1.16, 1.11 , , \\
Wa Oph/3  , 634 , K0 IV , 49145--53228 ,9, 10.98--10.73 ,255,1.19, 1.07 , , \\
Wa Oph/4  , 652 , K4    , 49147--52059 ,4, 13.72--10.44 ,104,1.88, 1.83 , VB(8.7) , re93 \\
