Spectral Type,J - H,H - K_s,K_s - [3.6],[3.6] - [4.5],[4.5] - [5.8],[5.8] - [8.0],[8.0] - [24],SpT
K4,0.53,0.1,0.06,0.0,0.04,0.0,0.04,-6.0
K5,0.61,0.12,0.08,0.0,0.04,0.0,0.06,-5.0
K6,0.66,0.14,0.1,0.0,0.04,0.0,0.08,-4.0
K7,0.68,0.15,0.1,0.0,0.04,0.0,0.11,-3.0
M0,0.7,0.16,0.1,0.0,0.04,0.0,0.13,0.0
M1,0.71,0.18,0.11,0.01,0.04,0.0,0.15,1.0
M2,0.7,0.2,0.14,0.03,0.04,0.0,0.17,2.0
M3,0.68,0.22,0.17,0.05,0.04,0.0,0.19,3.0
M4,0.63,0.26,0.2,0.07,0.04,0.0,0.21,4.0
M5,0.56,0.29,0.28,0.09,0.04,0.0,0.23,5.0
M6,0.55,0.33,0.39,0.11,0.04,0.0,0.25,6.0
M7,0.59,0.37,0.42,0.12,0.05,0.0,0.27,7.0
M8,0.65,0.44,0.52,0.12,0.07,0.03,0.29,8.0
M9,0.72,0.55,0.63,0.14,0.13,0.12,0.31,9.0
L0,0.98,0.66,0.72,0.16,0.22,0.25,0.33,10.0
