SpType,Teff,B-V,V-Ic,V-Ks,J-H,H-Ks,Ks-W1,Ks-W2,Ks-W3,Ks-W4,BCV,BCJ,SpT,J-H_MKO
F0,7280.0,0.28,0.34,0.73,0.11,0.06,0.04,0.03,0.0,0.08,0.01,0.57,,0.12802768166089964
F1,6990.0,0.34,0.39,0.89,0.14,0.07,0.04,0.04,0.0,0.09,0.0,0.68,,0.1539792387543253
F2,6710.0,0.38,0.43,0.99,0.15,0.08,0.04,0.05,0.0,0.09,-0.01,0.75,,0.16262975778546715
F3,6660.0,0.41,0.45,1.01,0.16,0.08,0.04,0.05,0.01,0.09,-0.01,0.76,,0.171280276816609
F4,6590.0,0.43,0.48,1.05,0.17,0.08,0.04,0.06,0.01,0.09,-0.01,0.79,,0.1799307958477509
F5,6420.0,0.47,0.51,1.14,0.19,0.08,0.04,0.03,0.01,0.1,-0.02,0.85,,0.19723183391003463
F6,6250.0,0.5,0.55,1.25,0.21,0.09,0.04,0.04,0.02,0.1,-0.04,0.91,,0.21453287197231835
F7,6140.0,0.53,0.58,1.31,0.22,0.09,0.05,0.04,0.02,0.1,-0.05,0.95,,0.22318339100346024
F8,6100.0,0.55,0.6,1.34,0.23,0.09,0.05,0.04,0.03,0.1,-0.06,0.96,,0.2318339100346021
F9,6090.0,0.56,0.62,1.35,0.23,0.09,0.05,0.04,0.03,0.1,-0.06,0.97,,0.2318339100346021
G0,6050.0,0.57,0.66,1.37,0.24,0.09,0.06,0.04,0.03,0.11,-0.06,0.98,-20.0,0.24048442906574394
G1,5970.0,0.59,0.67,1.42,0.25,0.1,0.06,0.03,0.04,0.11,-0.07,1.0,-19.0,0.2491349480968858
G2,5870.0,0.6,0.71,1.49,0.27,0.1,0.07,0.03,0.04,0.11,-0.09,1.03,-18.0,0.2664359861591696
G3,5740.0,0.63,0.72,1.58,0.29,0.1,0.07,0.03,0.05,0.12,-0.11,1.08,-17.0,0.28373702422145325
G4,5620.0,0.66,0.73,1.68,0.31,0.11,0.07,0.03,0.05,0.12,-0.14,1.12,-16.0,0.30103806228373703
G5,5500.0,0.7,0.76,1.77,0.33,0.11,0.08,0.03,0.06,0.13,-0.17,1.16,-15.0,0.31833910034602075
G6,5390.0,0.74,0.79,1.86,0.35,0.12,0.08,0.03,0.06,0.13,-0.2,1.19,-14.0,0.3356401384083045
G7,5290.0,0.77,0.83,1.95,0.37,0.12,0.09,0.04,0.07,0.14,-0.23,1.23,-13.0,0.35294117647058826
G8,5210.0,0.79,0.87,2.02,0.39,0.12,0.09,0.04,0.08,0.14,-0.26,1.25,-12.0,0.370242214532872
G9,5120.0,0.8,0.91,2.1,0.41,0.13,0.09,0.05,0.08,0.15,-0.29,1.27,-11.0,0.3875432525951557
K0,5030.0,0.82,0.93,2.19,0.43,0.13,0.09,0.06,0.09,0.16,-0.33,1.3,-10.0,0.40484429065743943
K1,4920.0,0.86,0.96,2.32,0.46,0.14,0.09,0.06,0.1,0.18,-0.38,1.34,-9.0,0.4307958477508651
K2,4760.0,0.93,1.01,2.49,0.49,0.14,0.09,0.07,0.12,0.19,-0.46,1.4,-8.0,0.4567474048442907
K3,4550.0,1.02,1.12,2.75,0.55,0.16,0.09,0.08,0.13,0.21,-0.6,1.44,-7.0,0.508650519031142
K4,4330.0,1.11,1.27,3.06,0.6,0.17,0.09,0.09,0.14,0.22,-0.77,1.52,-6.0,0.5519031141868512
K5,4140.0,1.18,1.44,3.35,0.64,0.18,0.09,0.1,0.16,0.24,-0.95,1.58,-5.0,0.5865051903114188
K6,4020.0,1.24,1.57,3.54,0.66,0.19,0.1,0.1,0.17,0.27,-1.08,1.61,-4.0,0.6038062283737026
K7,3970.0,1.28,1.66,3.62,0.66,0.19,0.1,0.12,0.19,0.29,-1.14,1.63,-3.0,0.6038062283737026
K8,3940.0,1.32,1.74,3.67,0.67,0.2,0.1,0.13,0.21,0.32,-1.17,1.63,-2.0,0.6124567474048443
K9,3880.0,1.37,1.83,3.77,0.67,0.2,0.11,0.15,0.23,0.35,-1.24,1.66,-1.0,0.6124567474048443
M0,3770.0,1.41,1.95,3.96,0.68,0.21,0.11,0.17,0.25,0.38,-1.38,1.69,0.0,0.6211072664359862
M1,3630.0,1.45,2.11,4.22,0.68,0.22,0.12,0.2,0.27,0.42,-1.58,1.74,1.0,0.6211072664359862
M2,3490.0,1.46,2.28,4.5,0.67,0.23,0.14,0.23,0.31,0.47,-1.8,1.8,2.0,0.6124567474048443
M3,3360.0,1.47,2.48,4.78,0.66,0.25,0.16,0.28,0.36,0.51,-2.03,1.84,3.0,0.6038062283737026
M4,3160.0,1.53,2.78,5.23,0.62,0.27,0.19,0.35,0.43,0.56,-2.43,1.91,4.0,0.569204152249135
M5,2880.0,1.65,3.31,6.08,0.55,0.31,0.22,0.43,0.52,0.62,-3.21,2.01,5.0,0.508650519031142
M6,,,,7.38,0.54,0.36,0.27,0.54,0.63,,,,6.0,0.5000000000000001
M7,,,,8.47,0.58,0.41,0.33,0.67,0.77,,,,7.0,0.5346020761245676
M8,,,,9.28,0.65,0.45,0.4,0.84,0.93,,,,8.0,0.5951557093425607
M9,,,,9.8,0.7,0.47,0.49,1.05,1.13,,,,9.0,0.6384083044982699
