Number,alpha(J2000),delta(J2000),"i"" (mag)","z"" (mag)",J (mag),K (mag),A_V,T_eff^a,SpT^b,Notes^c
1,03 28 47.66,+31 21 54.6,23.54,21.343000000000004,17.55,15.24,6.9,2800,,MBO139
2,03 28 54.93,+31 15 29.1,21.04,18.922,15.99,14.22,4.1,2600,M6.5,"ex^d,^e"
3,03 28 55.25,+31 17 35.4,19.386,17.602,15.09,13.43,3.5,2900,,ASR38^d
4,03 28 56.50,+31 16 03.1,22.999000000000002,21.233,18.17,16.73,2.3,2500,,^e
5,03 28 56.94,+31 20 48.6,19.417,17.935,15.48,13.92,3.0,2900,M6,"MBO91, ex"
6,03 28 57.11,+31 19 12.0,21.156999999999996,19.545,17.24,15.34,4.8,2700,M8,"MBO148, ex"
7,03 28 58.43,+31 22 56.7,19.23,17.855999999999998,15.21,13.54,3.5,2800,M6.5,"MBO80, ex"
8,03 29 03.39,+31 18 39.9,20.059,18.199,15.85,14.03,4.3,2600,M8.5,"MBO88, ex"
9,03 29 05.56,+31 10 13.7,21.288,19.425,16.91,15.76,0.8,2600,M8,
10,03 29 05.64,+31 20 10.7,20.08,18.842,17.11,15.49,3.3,2500,,"MBO143, ex^d,^e"
11,03 29 07.17,+31 23 22.9,22.989,21.186999999999998,17.87,15.62,6.6,(2600),,MBO141^e
12,03 29 09.33,+31 21 04.1,22.553,20.336,16.33,13.29,10.7,(2500),,"MBO70, ex^e"
13,03 29 10.79,+31 22 30.1,19.483,17.778,14.96,13.05,4.8,3000,M7.5,MBO62
14,03 29 14.43,+31 22 36.2,18.104,16.96,14.55,13.02,2.8,2900,M7,MBO66
15,03 29 17.75,+31 19 48.1,19.090999999999998,17.326,14.8,12.99,4.3,3000,M7.5,"MBO64, ex^d,^e"
16,03 29 28.16,+31 16 28.4,16.934,15.808,13.22,12.53,0.0,2600,M7.5,Random
17,03 29 33.88,+31 20 36.1,20.383,18.848,16.47,15.37,0.5,2500,M8,MBO140
18,03 29 35.71,+31 21 08.5,22.633000000000003,21.089000000000002,18.5,16.94,3.0,2500,,"Blue, ex"
19,03 29 36.36,+31 17 49.8,22.528000000000002,20.715999999999998,17.91,16.38,2.8,2700,,
