ID	MJ	AV	log_Teff	log_L_bol
SCH 15583162-24025411	7.18	0.66	3.48	-1.76
SCH 15594802-22271650	8.35	0.33	3.41	-2.27
SCH 16014768-24410152	8.03	0.15	3.47	-2.11
SCH 16040453-23463795	5.64	1.14	3.49	-1.13
SCH 16044303-23182620	7.99	0.05	3.43	-2.12
SCH 16051829-17562092	5.62	0.85	3.49	-1.12
SCH 16053077-22462016	7.97	0.04	3.44	-2.11
SCH 16075850-20394890	7.69	0.38	3.44	-1.99
SCH 16093018-20595409	8.09	0.39	3.44	-2.15
SCH 16095991-21554293	8.38	0.43	3.43	-2.28
SCH 16103876-18292353	7.69	1.78	3.44	-1.99
SCH 16111711-22171749	8.54	0.0	3.41	-2.35
SCH 16112959-19002921	7.46	1.52	3.44	-1.9
SCH 16121188-20472698	7.79	0.24	3.43	-2.04
SCH 16123758-23492340	8.0	0.48	3.44	-2.12
SCH 16124692-23384086	7.77	0.29	3.44	-2.02
SCH 16131212-23050329	8.25	0.0	3.43	-2.22
SCH 16132576-17373542	6.38	0.52	3.49	-1.43
SCH 16141974-24284053	7.87	0.54	3.44	-2.06
SCH 16151115-24201556	8.32	0.42	3.44	-2.24
SCH 16155508-24443677	7.46	0.49	3.44	-1.9
SCH 16172504-23503799	7.59	1.31	3.47	-1.93
SCH 16174540-23533618	7.91	1.26	3.44	-2.08
SCH 16182501-23381068	7.29	2.37	3.47	-1.82
SCH 16183144-24195229	8.15	0.76	3.43	-2.18
SCH 16200756-23591522	7.09	1.18	3.44	-1.75
SCH 16202127-21202923	7.48	0.41	3.44	-1.91
SCH 16202523-23160347	8.31	0.95	3.45	-2.23
SCH 16213591-23550341	7.78	1.38	3.44	-2.03
SCH 16221577-23134936	7.91	0.0	3.44	-2.08
SCH 16222156-22173094	7.76	0.66	3.47	-2.0
SCH 16224384-19510575	6.35	0.75	3.4	-1.48
SCH 16235158-23172740	7.75	0.0	3.4	-2.04
SCH 16235474-24383211	6.96	2.07	3.44	-1.7
SCH 16252862-16585055	7.86	0.02	3.4	-2.08
SCH 16252968-22145448	7.09	1.14	3.47	-1.73
SCH 16253671-22242887	7.55	0.67	3.42	-1.95
SCH 16254319-22300300	7.12	0.38	3.47	-1.74
SCH 16263026-23365552	7.15	3.02	3.44	-1.78
SCH 16265619-22135224	7.57	0.39	3.44	-1.94
SCH 16274801-24571371	6.99	2.82	3.47	-1.7
SCH 16294877-21370914	6.53	0.73	3.47	-1.51
SCH 16324726-20593771	7.64	0.06	3.44	-1.97
